LICENSE TYPE,Document Count
licenses/by-nd-nc/1.0,28500000
licenses/by-sa/1.0,40700000
licenses/nc/1.0,24800000
licenses/nc-sa/1.0,4790000
licenses/nc-sampling+/1.0,1690
licenses/nd/1.0,92700000
licenses/nd-nc/1.0,24800000
licenses/sa/1.0,39500000
licenses/sampling/1.0,66700000
licenses/sampling+/1.0,4100
licenses/by/2.0,65300000
licenses/by-nc/2.0,18100000
licenses/by-nc-nd/2.0,20800000
licenses/by-nc-sa/2.0,2290000
licenses/by-nd/2.0,69500000
licenses/by-nd-nc/2.0,22000000
licenses/by-sa/2.0,33400000
licenses/devnations/2.0,97
licenses/nc/2.0,18400000
licenses/nc-sa/2.0,2730000
licenses/nd/2.0,73000000
licenses/nd-nc/2.0,17100000
licenses/sa/2.0,31600000
licenses/by/2.1,68300000
licenses/by-nc/2.1,25800000
licenses/by-nc-nd/2.1,28100000
licenses/by-nc-sa/2.1,8130000
licenses/by-nd/2.1,72300000
licenses/by-sa/2.1,36500000
licenses/by/2.5,75200000
licenses/by-nc/2.5,26400000
licenses/by-nc-nd/2.5,24900000
licenses/by-nc-sa/2.5,7660000
licenses/by-nd/2.5,84400000
licenses/by-sa/2.5,33300000
licenses/by/3.0,70000000
licenses/by-nc/3.0,24400000
licenses/by-nc-nd/3.0,23500000
licenses/by-nc-sa/3.0,4690000
licenses/by-nd/3.0,72800000
licenses/by-sa/3.0,40500000
licenses/by/4.0,215000000
licenses/by-nc/4.0,84500000
licenses/by-nc-nd/4.0,84000000
licenses/by-nc-sa/4.0,32700000
licenses/by-nd/4.0,231000000
licenses/by-sa/4.0,104000000
publicdomain/mark/1.0,15400000
publicdomain/zero/1.0,35700000
