pages,articles,edits,images,users,activeusers,admins,jobs,cirrussearch-article-words,queued-massmessages,language
509,0,4685,0,4065,1,1,0,0,0,aa
21721,6043,124096,9,18678,27,2,0,232758,0,ab
378116,107140,2561735,9645,160176,170,13,0,37300872,0,af
2514,610,29807,0,13510,39,1,0,170926,0,ak
46109,15185,375045,1777,42457,52,1,0,1846672,0,am
133433,43605,1911112,1551,71560,72,6,0,8298566,0,an
8049277,1203425,61820509,51518,2396784,4608,20,0,383776908,0,ar
77265,11386,350159,1755,36790,109,5,0,6898424,0,as
15861,3330,86598,0,14013,23,2,0,661464,0,av
8644,5034,95935,0,15933,15,1,0,448717,0,ay
527880,192991,6933920,19963,265800,747,15,0,59799920,0,az
175028,62278,1225423,1493,37416,95,7,0,26620767,0,ba
664669,229736,4404235,3280,127780,288,10,0,54690314,0,be
645516,289551,11708236,484,322394,761,25,0,105788943,0,bg
71928,8286,739906,53,31757,55,2,0,1392262,0,bh
3332,1409,42424,0,12630,11,2,0,43314,0,bi
3166,789,40729,0,10310,15,2,0,65440,0,bm
1157883,136388,6560920,16520,413167,1499,13,0,65343516,0,bn
17906,6249,140970,0,27716,26,1,0,10528453,0,bo
149337,78732,2038115,5316,73262,87,6,0,13257955,0,br
371130,91590,3480143,5481,150398,167,9,0,35535314,0,bs
1807731,723978,31391351,14492,444987,1276,30,0,344532707,0,ca
1149483,561500,9502908,320,33124,63,3,0,79173807,0,ce
2510,546,23311,0,15051,20,1,0,23357,0,ch
15193,6525,383808,0,20906,37,2,0,1212093,0,co
2189,161,38160,0,17703,23,2,0,2834,0,cr
1457955,521340,22533485,1,612831,2719,31,0,237556511,0,cs
5631,1194,83913,0,24089,19,2,0,71674,0,cu
102175,50884,784238,537,32547,51,2,0,6601393,0,cv
434297,278560,11715000,11296,79093,139,16,0,53218184,0,cy
921956,290030,11400557,0,451093,839,25,0,89484033,0,da
7687622,2784931,230603801,127418,4114714,18975,182,0,1487400376,0,de
11439,3024,130659,932,24140,24,4,0,786171,0,dv
2620,237,30158,0,9747,12,1,0,692961,0,dz
3584,818,54526,0,13893,28,3,0,112307,0,ee
646832,218357,9953559,18914,386945,1057,21,0,133288520,0,el
57821608,6634303,1141648714,898732,45249343,130416,910,0,4323924029,0,en
743219,333262,7961688,13503,207290,354,16,0,77856746,0,eo
7868768,1848962,149635509,0,6799344,14583,60,0,1109295737,0,es
554313,234821,6346726,773,176657,631,34,0,55215323,0,et
854725,408754,9217926,0,146268,581,12,0,75497040,0,eu
5472640,956192,36727798,85112,1203652,5285,37,0,187226246,0,fa
3000,735,28966,0,8368,39,2,0,169786,0,ff
1440519,549562,21312021,72530,540030,1871,33,0,156475789,0,fi
3641,1277,35591,0,8720,11,1,0,91776,0,fj
40484,13882,371074,0,28131,43,3,0,2225216,0,fo
12484182,2507741,202123788,70306,4616624,19265,154,0,1586222162,0,fr
155672,51038,1111678,7696,45297,82,8,0,17736889,0,fy
99076,58342,1127924,1151,55348,104,7,0,8589523,0,ga
32120,15870,572376,347,26634,33,5,0,2381706,0,gd
491951,195379,6345120,272,133955,277,8,0,84500081,0,gl
12237,5176,124596,0,17377,31,2,0,880629,0,gn
122014,30092,840278,0,72806,78,3,0,8508127,0,gu
23559,5875,318857,184,19056,22,3,0,917776,0,gv
40519,23151,236631,0,21659,161,5,0,10802768,0,ha
1403414,332043,35855195,76027,1062833,2940,27,0,208619081,0,he
1239169,155866,5793247,3714,749064,1460,6,0,52221167,0,hi
129,3,3786,0,1577,1,1,0,205,0,ho
449257,214204,6596616,21379,289946,539,12,0,67335132,0,hr
83508,68336,819528,0,30089,53,3,0,7396397,0,ht
1493622,522112,25891699,8717,528067,1691,25,0,210071914,0,hu
1000071,296125,8638036,11635,130713,593,11,0,99036226,0,hy
176,0,4483,0,3763,0,1,0,0,0,hz
43618,29172,653016,4,46733,48,6,0,2510046,0,ia
3453420,641793,23131473,46940,1394674,3341,44,0,186196995,0,id
15449,11545,153795,0,17976,34,2,0,3548987,0,ie
20505,13525,109729,0,15672,50,4,0,7455003,0,ig
189,3,11653,0,2033,1,1,0,85,0,ii
2706,503,38900,0,8334,18,2,0,14187,0,ik
54622,37085,1010757,0,35140,49,5,0,5969724,0,io
145584,56190,1795871,3215,90395,151,19,0,12702836,0,is
7676183,1803555,132355456,133498,2362435,8317,119,0,884188888,0,it
3033,451,46038,0,18141,35,2,0,14199,0,iu
4027122,1367614,94261235,7884,2050965,14687,41,0,1363286283,0,ja
181784,72444,1629210,5452,56744,82,5,0,10492936,0,jv
469800,166496,4484849,15059,148949,259,6,0,38186936,0,ka
2920,1262,44035,0,10409,11,1,0,40514,0,kg
3089,1504,20883,0,8402,11,1,0,48181,0,ki
114,4,3548,0,1378,0,1,0,113,0,kj
597542,233030,3139356,10542,128148,306,14,0,34489604,0,kk
2263,242,74739,0,12761,10,3,0,25512,0,kl
34098,10035,293608,1035,38582,73,6,0,7521677,0,km
133781,29813,1156564,2307,80172,165,4,0,20535555,0,kn
3054326,629408,34544716,13005,778766,1642,27,0,155887537,0,ko
162,0,4641,0,5465,0,1,0,0,0,kr
10297,2742,73733,10,10006,19,2,0,129611,0,ks
117097,59031,1165686,564,54711,102,3,0,6382004,0,ku
17244,5501,141491,0,13772,26,1,0,804715,0,kv
14355,6962,209078,6,14507,30,2,0,696777,0,kw
110673,80403,440087,2687,35607,86,2,0,11388290,0,ky
277647,137613,3748298,0,165634,145,17,0,20597735,0,la
134250,61593,2423708,2382,57300,80,6,0,11890132,0,lb
6352,2595,29210,0,7767,27,2,0,1096500,0,lg
66298,14268,458497,623,27541,39,7,0,4579791,0,li
8698,3321,122598,32,12455,34,4,0,267801,0,ln
13073,3965,99884,0,16915,33,2,0,1353413,0,lo
512698,209119,6905939,24560,173283,377,10,0,45087216,0,lt
483603,118983,3804641,26214,113001,306,13,0,29678983,0,lv
246223,95433,1053494,3,30269,40,3,0,9427682,0,mg
206,4,4212,0,2144,0,1,0,585,0,mh
14161,7785,160961,0,17583,17,2,0,796882,0,mi
536038,134852,4944114,8706,107804,320,12,0,60839373,0,mk
506895,83284,3819892,7057,169689,284,15,0,26711274,0,ml
99193,21927,724310,1372,82622,102,3,0,7148150,0,mn
301174,90889,2249784,19125,152008,304,10,0,14660851,0,mr
1052420,363987,5790088,19121,310662,650,16,0,66854743,0,ms
19581,5234,287993,724,21195,52,5,0,4230138,0,mt
227273,106283,784577,2971,109518,120,4,0,21521795,0,my
4898,1670,89874,4,11999,15,1,0,35284,0,na
1739268,608063,23383614,4,576772,1295,45,0,176527048,0,nb
105592,31393,1125258,1300,61721,117,6,0,6873965,0,ne
442,8,5923,0,2386,0,1,0,2693,0,ng
4522534,2119152,63879800,20,1266144,3956,35,0,402972626,0,nl
377591,164551,3462095,16,126589,146,14,0,37739670,0,nn
1739269,608063,23383620,4,576772,1295,45,0,176527048,0,no
36280,21810,302562,734,16017,18,2,0,1409721,0,nv
4624,1021,41544,0,10071,20,3,0,276655,0,ny
158592,88452,2356018,937,50569,103,4,0,18455868,0,oc
4100,1242,39336,0,10094,19,1,0,358962,0,om
73925,16561,477919,171,32893,67,6,0,5164151,0,or
62580,16918,533391,158,23420,26,3,0,1261113,0,os
149070,43361,653604,1843,44764,124,9,0,17028163,0,pa
4653,2547,101915,1,6940,8,2,0,63719,0,pi
3598875,1561433,69729317,261,1227200,4496,99,0,468637509,0,pl
58750,17371,293574,1736,29658,44,1,0,12149301,0,ps
5485964,1103093,65370041,59271,2891811,9179,52,0,507328788,0,pt
56417,23355,653231,0,28262,39,2,0,1909818,0,qu
9619,3757,163873,51,19265,23,3,0,2794898,0,rm
2482,627,23294,0,9332,15,1,0,57421,0,rn
2663411,437409,15568191,116902,612221,1004,17,0,143025593,0,ro
7631857,1903184,129112232,242777,3356779,11040,75,0,986740042,0,ru
12370,5171,93470,0,11949,47,1,0,1471891,0,rw
72249,11969,474546,445,37077,42,3,0,2835973,0,sa
16675,7380,179611,151,23075,34,4,0,2192411,0,sc
56472,15347,242511,145,16782,29,4,0,4339935,0,sd
20920,7839,301921,0,27397,17,7,0,695735,0,se
1985,316,20654,0,6253,9,2,0,24338,0,sg
84826,18444,542238,3044,62085,87,3,0,8967948,0,si
556799,244162,7530301,0,231538,589,10,0,61028331,0,sk
451968,180415,5955465,8374,220066,400,22,0,66234932,0,sl
3343,1074,43025,0,10014,12,1,0,157831,0,sm
19076,10364,105489,0,16410,30,1,0,1100654,0,sn
26759,9162,249240,0,34462,114,1,0,2447415,0,so
272130,88774,2531395,4386,150159,308,11,0,32286836,0,sq
4017658,669334,25616546,37644,323441,837,18,0,177380415,0,sr
2530,636,38715,0,8004,17,3,0,86978,0,ss
4395,908,29282,0,9917,21,2,0,165885,0,st
97761,61398,633144,545,29537,59,7,0,6629984,0,su
6159679,2559921,52140349,0,859411,2299,67,0,494731238,0,sv
159599,76561,1271006,2283,59580,234,14,0,11582719,0,sw
484609,153033,3672169,8009,216902,339,31,0,42571335,0,ta
321170,81662,3824628,14694,119800,186,14,0,38389845,0,te
266276,109414,1342518,493,38412,79,7,0,10070201,0,tg
1015168,154676,10631226,26489,443968,1095,17,0,99005058,0,th
2768,254,24141,0,8921,11,2,0,48307,0,ti
16307,6670,238140,336,26273,43,3,0,1412328,0,tk
237084,44236,2002231,1897,130172,171,11,0,15399430,0,tl
4370,1015,30774,4,9691,13,2,0,590767,0,tn
5399,1948,42483,12,9799,11,2,0,173103,0,to
2443145,515335,29397236,38749,1481464,3392,20,0,142117374,0,tr
3797,728,37166,0,9430,18,2,0,169093,0,ts
635992,483271,3828607,6316,45925,97,6,0,101471679,0,tt
5835,2664,104449,0,14636,23,2,0,966117,0,tw
2999,1197,53217,0,7129,8,1,0,62250,0,ty
15287,5629,156859,133,20796,30,2,0,2742988,0,ug
4336858,1252261,38942293,111792,678779,3957,46,0,446915018,0,uk
1031097,187937,5328488,13967,160285,302,11,0,46064446,0,ur
821449,222271,3624243,2623,93158,746,20,0,54282982,0,uz
2252,750,19536,0,7561,15,1,0,52247,0,ve
19413178,1281977,69757174,25595,902936,2007,19,0,320235358,0,vi
149452,33248,3281591,0,33412,37,2,0,2560886,0,vo
27723,11746,393296,626,23142,29,4,0,1958456,0,wa
5376,1649,104730,0,14489,16,3,0,660578,0,wo
3931,1280,34507,0,12361,21,1,0,289577,0,xh
44383,15502,586473,1062,47716,52,3,0,3456850,0,yi
55951,32154,562871,166,26337,63,3,0,2537582,0,yo
4864,2521,40596,0,10162,14,2,0,188754,0,za
7332618,1342575,76183307,62828,3327861,8237,67,0,639540392,0,zh
24463,10900,100494,0,18804,30,1,0,868725,0,zu
